scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,gp_coordinates_before,full_coordinates_before,gp_target,full_target,gp_nominal_norm,reference_realized_norm,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine,zero_reference
syco_bullshit_v2_phys_pnf_01,-C,False,47,1,0,True,True,"[-1.0589245557785034, -0.6626932621002197]","[-2.475592613220215, -0.4516654908657074]",-1.9836915731430054,-7.5542134046554565,0.9790555834770203,3.368093490600586,3.368093490600586,3.3681845664978027,9.107589721679688e-05,0.022612478584051132,0.14875195920467377,0.9999774694442749,False
syco_bullshit_v2_phys_pnf_01,-C,False,48,1,0,True,True,"[-1.2650251388549805, -0.17849533259868622]","[-1.6433961391448975, -0.20408329367637634]",-1.9836915731430054,-7.5542134046554565,0.5533185601234436,3.7248213291168213,3.724821090698242,3.7245006561279297,0.0003204345703125,0.018568433821201324,0.14340949058532715,0.9999874830245972,False
syco_bullshit_v2_phys_pnf_01,-C,False,49,1,0,True,True,"[-0.4455018639564514, -0.3379051089286804]","[-1.8741084337234497, -0.07456636428833008]",-1.9836915731430054,-7.5542134046554565,1.1570689678192139,3.50681471824646,3.506814956665039,3.5063884258270264,0.0004265308380126953,0.021312052384018898,0.151302307844162,0.9999815821647644,False
syco_bullshit_v2_phys_pnf_01,-C,False,50,1,0,True,True,"[-0.6962184906005859, -0.4364946484565735]","[-1.5259116888046265, -0.06036180257797241]",-1.9836915731430054,-7.5542134046554565,1.0632456541061401,3.7070188522338867,3.7070188522338867,3.7070815563201904,6.270408630371094e-05,0.021372033283114433,0.14917893707752228,0.9999834299087524,False
syco_bullshit_v2_phys_pnf_01,-C,False,51,1,0,True,True,"[-0.9188752174377441, -0.33938565850257874]","[-1.7165756225585938, -0.30717024207115173]",-1.9836915731430054,-7.5542134046554565,0.8660322427749634,3.7417120933532715,3.7417120933532715,3.7424769401550293,0.0007648468017578125,0.01687704212963581,0.1396946758031845,0.9999897480010986,False
syco_bullshit_v2_phys_pnf_01,-C,False,52,1,0,True,True,"[-0.8766297101974487, 0.06340119242668152]","[-0.9410467147827148, 0.1556786447763443]",-1.9836915731430054,-7.5542134046554565,0.6436707973480225,3.9322266578674316,3.9322264194488525,3.9321248531341553,0.00010156631469726562,0.02346988208591938,0.1501660794019699,0.9999821186065674,False
syco_bullshit_v2_phys_pnf_01,-C,False,53,1,0,True,True,"[-0.47450777888298035, 0.12468433380126953]","[-1.2171945571899414, 0.16675397753715515]",-1.9836915731430054,-7.5542134046554565,0.8538808226585388,3.7607216835021973,3.7607216835021973,3.760172128677368,0.0005495548248291016,0.021193087100982666,0.15365801751613617,0.9999842047691345,False
syco_bullshit_v2_phys_pnf_01,-C,False,54,1,0,True,True,"[-0.6664246320724487, -0.13887697458267212]","[-1.294199824333191, 0.07266699522733688]",-1.9836915731430054,-7.5542134046554565,0.898067057132721,3.770362615585327,3.770362615585327,3.770411252975464,4.863739013671875e-05,0.021542860195040703,0.15600013732910156,0.9999836683273315,False
syco_bullshit_v2_phys_pnf_01,-C,False,55,1,0,True,True,"[-0.8855019807815552, -0.30324041843414307]","[-1.2431963682174683, 0.11717931926250458]",-1.9836915731430054,-7.5542134046554565,0.8643226623535156,3.774567127227783,3.774567127227783,3.7742300033569336,0.0003371238708496094,0.02252206578850746,0.1530807763338089,0.9999821186065674,False
syco_bullshit_v2_phys_pnf_01,-C,False,56,1,0,True,True,"[-0.5951037406921387, -0.11611029505729675]","[-1.1634454727172852, 0.2054956555366516]",-1.9836915731430054,-7.5542134046554565,0.9280126094818115,3.768916130065918,3.768915891647339,3.768979072570801,6.318092346191406e-05,0.022315647453069687,0.15216565132141113,0.999982476234436,False
