method,seed,side,C,source_kind,source_run,raw_steered_source,effect,off_axis_perturbation,steered_off_axis,health_clean,accepted
vjp_mlp_up_shrink,2,-C,3.174802103936399,historical_bracket,outputs/run_20260828T030127_vjp_mlp_up_shrink_s2_c3p174802103936399/vjp_mlp_up_shrink.json,outputs/run_20260828T030127_vjp_mlp_up_shrink_s2_c3p174802103936399/moral_demos.jsonl,0.961675,0.093,0.73575,True,True
vjp_mlp_up_shrink,2,-C,3.563594872561357,historical_bracket,outputs/run_20260828T030316_vjp_mlp_up_shrink_s2_c3p563594872561357/vjp_mlp_up_shrink.json,outputs/run_20260828T030316_vjp_mlp_up_shrink_s2_c3p563594872561357/moral_demos.jsonl,0.99175,0.11525,0.7435,True,True
vjp_mlp_up_shrink,2,-C,4.0,historical_bracket,outputs/run_20260828T030504_vjp_mlp_up_shrink_s2_c4p0/vjp_mlp_up_shrink.json,outputs/run_20260828T030504_vjp_mlp_up_shrink_s2_c4p0/moral_demos.jsonl,0.96975,0.082,0.8125,True,True
vjp_mlp_up_shrink,2,-C,4.489848193237491,historical_bracket,outputs/run_20260828T030654_vjp_mlp_up_shrink_s2_c4p489848193237491/vjp_mlp_up_shrink.json,outputs/run_20260828T030654_vjp_mlp_up_shrink_s2_c4p489848193237491/moral_demos.jsonl,1.31775,0.1705,0.70025,True,True
vjp_mlp_up_shrink,2,-C,5.039684199579493,historical_bracket,outputs/run_20260828T030843_vjp_mlp_up_shrink_s2_c5p039684199579493/vjp_mlp_up_shrink.json,outputs/run_20260828T030843_vjp_mlp_up_shrink_s2_c5p039684199579493/moral_demos.jsonl,1.3125,0.1685,0.6735,True,True
vjp_mlp_up_shrink,2,-C,5.656854249492381,historical_bracket,outputs/run_20260828T031031_vjp_mlp_up_shrink_s2_c5p656854249492381/vjp_mlp_up_shrink.json,outputs/run_20260828T031031_vjp_mlp_up_shrink_s2_c5p656854249492381/moral_demos.jsonl,1.2905,0.05775000000000001,0.7927500000000001,True,True
vjp_mlp_up_shrink,2,-C,6.3496042078727974,historical_bracket,outputs/run_20260828T031253_vjp_mlp_up_shrink_s2_c6p3496042078727974/vjp_mlp_up_shrink.json,outputs/run_20260828T031253_vjp_mlp_up_shrink_s2_c6p3496042078727974/moral_demos.jsonl,1.443,0.1055,0.81325,True,True
vjp_mlp_up_shrink,2,-C,7.127189745122715,historical_bracket,outputs/run_20260828T031528_vjp_mlp_up_shrink_s2_c7p127189745122715/vjp_mlp_up_shrink.json,outputs/run_20260828T031528_vjp_mlp_up_shrink_s2_c7p127189745122715/moral_demos.jsonl,1.1275,0.12574999999999997,1.02325,True,True
vjp_mlp_up_shrink,2,-C,8.0,historical_bracket,outputs/run_20260828T031808_vjp_mlp_up_shrink_s2_c8p0/vjp_mlp_up_shrink.json,outputs/run_20260828T031808_vjp_mlp_up_shrink_s2_c8p0/moral_demos.jsonl,0.6735,0.294,1.26725,True,True
vjp_mlp_up_shrink,2,-C,8.979696386474982,historical_bracket,outputs/run_20260828T032116_vjp_mlp_up_shrink_s2_c8p979696386474982/vjp_mlp_up_shrink.json,outputs/run_20260828T032116_vjp_mlp_up_shrink_s2_c8p979696386474982/moral_demos.jsonl,0.17525,0.9359999999999999,1.876,True,False
vjp_mlp_up_shrink,2,-C,10.079368399158986,historical_bracket,outputs/run_20260828T032405_vjp_mlp_up_shrink_s2_c10p079368399158986/vjp_mlp_up_shrink.json,outputs/run_20260828T032405_vjp_mlp_up_shrink_s2_c10p079368399158986/moral_demos.jsonl,-0.888,1.382,2.37325,True,False
