scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,gp_coordinates_before,full_coordinates_before,gp_target,full_target,gp_nominal_norm,reference_realized_norm,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine,zero_reference
syco_bullshit_v2_leg_pnf_01,+C,False,36,1,0,True,True,"[0.9272875189781189, -0.029473137110471725]","[-0.8738760948181152, -0.6515098810195923]",5.802844047546387,8.476953744888306,2.3576815128326416,5.298642158508301,5.298642158508301,5.298316478729248,0.0003256797790527344,0.027753999456763268,0.1851925402879715,0.9999861717224121,False
syco_bullshit_v2_leg_pnf_01,+C,False,37,1,0,True,True,"[0.786486804485321, -0.3438175320625305]","[-0.907119870185852, -0.571061909198761]",5.802844047546387,8.476953744888306,2.273250102996826,5.366175651550293,5.366175651550293,5.365292549133301,0.0008831024169921875,0.02717297337949276,0.17516739666461945,0.9999872446060181,False
syco_bullshit_v2_leg_pnf_01,+C,False,38,1,0,True,True,"[0.7162120938301086, -0.26421165466308594]","[-1.13445246219635, -0.5882861018180847]",5.802844047546387,8.476953744888306,2.3461689949035645,5.497293472290039,5.497292995452881,5.4978556632995605,0.0005626678466796875,0.02690914086997509,0.17399780452251434,0.9999880194664001,False
syco_bullshit_v2_leg_pnf_01,+C,False,39,1,0,True,True,"[0.35434967279434204, -0.12159904837608337]","[-1.6639633178710938, -0.48679453134536743]",5.802844047546387,8.476953744888306,2.591602325439453,5.880984783172607,5.880985260009766,5.882336616516113,0.0013513565063476562,0.023512788116931915,0.1788170039653778,0.9999920725822449,False
syco_bullshit_v2_leg_pnf_01,+C,False,40,1,0,True,True,"[0.20092952251434326, 0.21322830021381378]","[-1.6253399848937988, -0.32658305764198303]",5.802844047546387,8.476953744888306,2.8291409015655518,5.954073905944824,5.954074382781982,5.956047534942627,0.0019731521606445312,0.029105350375175476,0.19181489944458008,0.9999881982803345,False
syco_bullshit_v2_leg_pnf_01,+C,False,41,1,0,True,True,"[-0.3040385842323303, 0.45319828391075134]","[-1.3931827545166016, -0.05317212641239166]",5.802844047546387,8.476953744888306,3.191563129425049,5.982581615447998,5.982581615447998,5.983309268951416,0.0007276535034179688,0.026063427329063416,0.19304417073726654,0.9999904632568359,False
syco_bullshit_v2_leg_pnf_01,+C,False,42,1,0,True,True,"[0.420098215341568, 0.14534783363342285]","[-1.6576591730117798, -0.4053918123245239]",5.802844047546387,8.476953744888306,2.689488172531128,5.925895690917969,5.925895690917969,5.923969268798828,0.001926422119140625,0.028394803404808044,0.18917982280254364,0.9999886751174927,False
syco_bullshit_v2_leg_pnf_01,+C,False,43,1,0,True,True,"[0.7486593127250671, -0.21854916214942932]","[-1.3052902221679688, -0.5757484436035156]",5.802844047546387,8.476953744888306,2.3525984287261963,5.609617233276367,5.609617233276367,5.608906269073486,0.0007109642028808594,0.02536466345191002,0.18223661184310913,0.9999897480010986,False
syco_bullshit_v2_leg_pnf_01,+C,False,44,1,0,True,True,"[0.48111456632614136, 0.17152461409568787]","[-1.6177209615707397, -0.47248750925064087]",5.802844047546387,8.476953744888306,2.6725382804870605,5.860928535461426,5.860928058624268,5.864378929138184,0.0034508705139160156,0.02498546428978443,0.18228499591350555,0.9999910593032837,False
syco_bullshit_v2_leg_pnf_01,+C,False,45,1,0,True,True,"[0.19071310758590698, 0.010122237727046013]","[-1.3530776500701904, -0.4949045479297638]",5.802844047546387,8.476953744888306,2.735297918319702,5.685090065002441,5.685090065002441,5.684487819671631,0.0006022453308105469,0.02527341991662979,0.184518501162529,0.9999902248382568,False
syco_bullshit_v2_leg_pnf_01,+C,False,46,1,0,True,True,"[0.7370885014533997, -0.19194407761096954]","[-1.129952073097229, -0.44757628440856934]",5.802844047546387,8.476953744888306,2.371171474456787,5.579102039337158,5.579102039337158,5.577670097351074,0.0014319419860839844,0.027636989951133728,0.18249551951885223,0.9999877214431763,False
syco_bullshit_v2_leg_pnf_01,+C,False,47,1,0,True,True,"[0.2318568378686905, -0.027908116579055786]","[-1.0290199518203735, -0.6236003041267395]",5.802844047546387,8.476953744888306,2.6967785358428955,5.409367561340332,5.409367561340332,5.408137321472168,0.0012302398681640625,0.02510845474898815,0.16489984095096588,0.9999892711639404,False
syco_bullshit_v2_leg_pnf_01,+C,False,48,1,0,True,True,"[0.6485934853553772, -0.09545650333166122]","[-1.1100214719772339, -0.7100143432617188]",5.802844047546387,8.476953744888306,2.461167812347412,5.406343460083008,5.406343460083008,5.408052444458008,0.001708984375,0.030589457601308823,0.19143275916576385,0.9999840259552002,False
