scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,signed_alpha,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine
syco_bullshit_v2_leg_pnf_01,-C,False,7,1,0,True,True,-4.0,2.8864548206329346,2.8880252838134766,0.0015704631805419922,0.023781972005963326,0.14356935024261475,0.9999662041664124
syco_bullshit_v2_leg_pnf_01,-C,False,8,1,0,True,True,-4.0,2.8864548206329346,2.8874902725219727,0.001035451889038086,0.02149340696632862,0.13252529501914978,0.9999724626541138
syco_bullshit_v2_leg_pnf_01,-C,False,9,1,0,True,True,-4.0,2.8864548206329346,2.8866770267486572,0.00022220611572265625,0.022586818784475327,0.13566753268241882,0.999969482421875
syco_bullshit_v2_leg_pnf_01,-C,False,10,1,0,True,True,-4.0,2.8864548206329346,2.8866307735443115,0.00017595291137695312,0.022550193592905998,0.13894444704055786,0.999969482421875
syco_bullshit_v2_leg_pnf_01,-C,False,11,1,0,True,True,-4.0,2.8864548206329346,2.88767671585083,0.0012218952178955078,0.022315802052617073,0.14018824696540833,0.9999701976776123
syco_bullshit_v2_leg_pnf_01,-C,False,12,1,0,True,True,-4.0,2.8864548206329346,2.8874425888061523,0.0009877681732177734,0.02416945993900299,0.14334969222545624,0.9999650120735168
syco_bullshit_v2_leg_pnf_01,-C,False,13,1,0,True,True,-4.0,2.8864548206329346,2.886981964111328,0.0005271434783935547,0.02183689922094345,0.13569584488868713,0.9999713897705078
syco_bullshit_v2_leg_pnf_01,-C,False,14,1,0,True,True,-4.0,2.8864548206329346,2.886326551437378,0.00012826919555664062,0.023192724213004112,0.13980655372142792,0.9999676942825317
syco_bullshit_v2_leg_pnf_01,-C,False,15,1,0,True,True,-4.0,2.8864548206329346,2.886361598968506,9.322166442871094e-05,0.022296467795968056,0.13483621180057526,0.9999701976776123
syco_bullshit_v2_leg_pnf_01,-C,False,16,1,0,True,True,-4.0,2.8864548206329346,2.887648344039917,0.0011935234069824219,0.02037748508155346,0.1312868744134903,0.9999752044677734
syco_bullshit_v2_leg_pnf_01,-C,False,17,1,0,True,True,-4.0,2.8864548206329346,2.8860044479370117,0.00045037269592285156,0.02337460033595562,0.141300767660141,0.9999672174453735
syco_bullshit_v2_leg_pnf_01,-C,False,18,1,0,True,True,-4.0,2.8864548206329346,2.8874285221099854,0.0009737014770507812,0.024539530277252197,0.14529845118522644,0.9999639987945557
syco_bullshit_v2_leg_pnf_01,-C,False,19,1,0,True,True,-4.0,2.8864548206329346,2.8868565559387207,0.0004017353057861328,0.02245827578008175,0.13732539117336273,0.9999697208404541
syco_bullshit_v2_leg_pnf_01,-C,False,20,1,0,True,True,-4.0,2.8864548206329346,2.8867502212524414,0.00029540061950683594,0.02273566648364067,0.1421056091785431,0.9999690055847168
syco_bullshit_v2_leg_pnf_01,-C,False,21,1,0,True,True,-4.0,2.8864548206329346,2.8881680965423584,0.0017132759094238281,0.023543957620859146,0.1448165625333786,0.9999669790267944
syco_bullshit_v2_leg_pnf_01,-C,False,22,1,0,True,True,-4.0,2.8864548206329346,2.8851845264434814,0.001270294189453125,0.023571722209453583,0.1425105780363083,0.9999667406082153
syco_bullshit_v2_leg_pnf_01,-C,False,23,1,0,True,True,-4.0,2.8864548206329346,2.887160062789917,0.0007052421569824219,0.021822862327098846,0.14197832345962524,0.9999715089797974
syco_bullshit_v2_leg_pnf_01,-C,False,24,1,0,True,True,-4.0,2.8864548206329346,2.8871874809265137,0.0007326602935791016,0.022351358085870743,0.1343516707420349,0.9999700784683228
syco_bullshit_v2_leg_pnf_01,-C,False,25,1,0,True,True,-4.0,2.8864548206329346,2.8870091438293457,0.0005543231964111328,0.023648984730243683,0.14322902262210846,0.9999664425849915
syco_bullshit_v2_leg_pnf_01,-C,False,26,1,0,True,True,-4.0,2.8864548206329346,2.887068510055542,0.0006136894226074219,0.020338138565421104,0.13642618060112,0.9999752044677734
syco_bullshit_v2_leg_pnf_01,-C,False,27,1,0,True,True,-4.0,2.8864548206329346,2.88566255569458,0.0007922649383544922,0.02476140856742859,0.1448088139295578,0.9999633431434631
syco_bullshit_v2_leg_pnf_01,-C,False,28,1,0,True,True,-4.0,2.8864548206329346,2.8861310482025146,0.0003237724304199219,0.02138523757457733,0.13553445041179657,0.9999725818634033
syco_bullshit_v2_leg_pnf_01,-C,False,29,1,0,True,True,-4.0,2.8864548206329346,2.887005567550659,0.0005507469177246094,0.02048659697175026,0.12818455696105957,0.9999748468399048
syco_bullshit_v2_leg_pnf_01,-C,False,30,1,0,True,True,-4.0,2.8864548206329346,2.8850347995758057,0.0014200210571289062,0.02160590887069702,0.12945030629634857,0.9999721050262451
syco_bullshit_v2_leg_pnf_01,-C,False,31,1,0,True,True,-4.0,2.8864548206329346,2.8869869709014893,0.0005321502685546875,0.022807974368333817,0.14288292825222015,0.9999688863754272
syco_bullshit_v2_leg_pnf_01,-C,False,32,1,0,True,True,-4.0,2.8864548206329346,2.8876657485961914,0.001210927963256836,0.023705387488007545,0.14393864572048187,0.9999663829803467
syco_bullshit_v2_leg_pnf_01,-C,False,33,1,0,True,True,-4.0,2.8864548206329346,2.886580228805542,0.00012540817260742188,0.019323963671922684,0.13157638907432556,0.9999775886535645
syco_bullshit_v2_leg_pnf_01,-C,False,34,1,0,True,True,-4.0,2.8864548206329346,2.8872458934783936,0.0007910728454589844,0.023084670305252075,0.14204874634742737,0.9999681115150452
syco_bullshit_v2_leg_pnf_01,-C,False,35,1,0,True,True,-4.0,2.8864548206329346,2.8866517543792725,0.00019693374633789062,0.023869002237915993,0.14665520191192627,0.9999658465385437
syco_bullshit_v2_leg_pnf_01,-C,False,36,1,0,True,True,-4.0,2.8864548206329346,2.885887861251831,0.0005669593811035156,0.02388496696949005,0.14389771223068237,0.9999657869338989
syco_bullshit_v2_leg_pnf_01,-C,False,37,1,0,True,True,-4.0,2.8864548206329346,2.8864943981170654,3.9577484130859375e-05,0.022374670952558517,0.14214062690734863,0.9999699592590332
syco_bullshit_v2_leg_pnf_01,-C,False,38,1,0,True,True,-4.0,2.8864548206329346,2.8872671127319336,0.0008122920989990234,0.021510213613510132,0.13815714418888092,0.9999722838401794
syco_bullshit_v2_leg_pnf_01,-C,False,39,1,0,True,True,-4.0,2.8864548206329346,2.887389659881592,0.0009348392486572266,0.01978333853185177,0.13316743075847626,0.9999765753746033
syco_bullshit_v2_leg_pnf_01,-C,False,40,1,0,True,True,-4.0,2.8864548206329346,2.886977195739746,0.0005223751068115234,0.021327398717403412,0.13947075605392456,0.9999727606773376
syco_bullshit_v2_leg_pnf_01,-C,False,41,1,0,True,True,-4.0,2.8864548206329346,2.886676549911499,0.00022172927856445312,0.020589759573340416,0.13884416222572327,0.9999746084213257
syco_bullshit_v2_leg_pnf_01,-C,False,42,1,0,True,True,-4.0,2.8864548206329346,2.8867361545562744,0.00028133392333984375,0.022261377424001694,0.1429542452096939,0.9999703168869019
syco_bullshit_v2_leg_pnf_01,-C,False,43,1,0,True,True,-4.0,2.8864548206329346,2.8863413333892822,0.00011348724365234375,0.02377433143556118,0.14311371743679047,0.9999661445617676
syco_bullshit_v2_leg_pnf_01,-C,False,44,1,0,True,True,-4.0,2.8864548206329346,2.8869922161102295,0.0005373954772949219,0.022645799443125725,0.14410561323165894,0.9999693036079407
syco_bullshit_v2_leg_pnf_01,-C,False,45,1,0,True,True,-4.0,2.8864548206329346,2.8860137462615967,0.0004410743713378906,0.022908946499228477,0.1453251987695694,0.9999685287475586
syco_bullshit_v2_leg_pnf_01,-C,False,46,1,0,True,True,-4.0,2.8864548206329346,2.886653184890747,0.0001983642578125,0.019141484051942825,0.12954974174499512,0.9999780654907227
syco_bullshit_v2_leg_pnf_01,-C,False,47,1,0,True,True,-4.0,2.8864548206329346,2.88698673248291,0.0005319118499755859,0.015342426486313343,0.11089159548282623,0.999985933303833
syco_bullshit_v2_leg_pnf_01,-C,False,48,1,0,True,True,-4.0,2.8864548206329346,2.8860385417938232,0.0004162788391113281,0.01808415725827217,0.12440910935401917,0.9999803304672241
syco_bullshit_v2_leg_pnf_02,+C,False,0,52,51,True,True,4.0,2.8864548206329346,2.886791706085205,0.0003368854522705078,0.019242119044065475,0.1275324672460556,0.9999777674674988
syco_bullshit_v2_leg_pnf_02,+C,False,1,1,0,True,True,4.0,2.8864548206329346,2.8879635334014893,0.0015087127685546875,0.021768702194094658,0.13279232382774353,0.9999717473983765
