scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_leg_pnf_01,False,15,1,0,True,True,projection_removal,1.0,0.6195638179779053,-0.0007012318819761276,0.6195638179779053,0.6206551194190979,0.001091301441192627,0.02200525812804699,0.02201642282307148,0.10389132797718048
syco_bullshit_v2_leg_pnf_01,False,16,1,0,True,True,projection_removal,1.0,0.37233731150627136,0.00010196864604949951,0.37233731150627136,0.3727874755859375,0.0004501640796661377,0.02027863822877407,0.020278893411159515,0.10293295234441757
syco_bullshit_v2_leg_pnf_01,False,17,1,0,True,True,projection_removal,1.0,0.2851276993751526,-0.000528968870639801,0.2851276993751526,0.28634971380233765,0.0012220144271850586,0.019906874746084213,0.01991390809416771,0.10155895352363586
syco_bullshit_v2_leg_pnf_01,False,18,1,0,True,True,projection_removal,1.0,0.5015923976898193,-0.0002890489995479584,0.5015923976898193,0.502407431602478,0.0008150339126586914,0.02298552915453911,0.022987347096204758,0.10985387861728668
syco_bullshit_v2_leg_pnf_01,False,19,1,0,True,True,projection_removal,1.0,0.5132278203964233,-0.0005371980369091034,0.5132278203964233,0.5141339302062988,0.0009061098098754883,0.01947343349456787,0.019480841234326363,0.0966087281703949
syco_bullshit_v2_leg_pnf_01,False,20,1,0,True,True,projection_removal,1.0,0.004967310465872288,0.003544100560247898,0.004967310465872288,0.0030990210361778736,0.0018682894296944141,0.0027528859209269285,0.004487646743655205,0.08269061148166656
syco_bullshit_v2_leg_pnf_01,False,21,1,0,True,True,projection_removal,1.0,0.45923081040382385,-8.143717423081398e-06,0.45923081040382385,0.459664523601532,0.0004337131977081299,0.019775543361902237,0.019775545224547386,0.09635498374700546
syco_bullshit_v2_leg_pnf_01,False,22,1,0,True,True,projection_removal,1.0,0.562436580657959,0.00019073463045060635,0.562436580657959,0.5625821352005005,0.0001455545425415039,0.019451189786195755,0.01945212483406067,0.09988495707511902
syco_bullshit_v2_leg_pnf_01,False,23,1,0,True,True,projection_removal,1.0,0.4534941017627716,-0.00011386198457330465,0.4534941017627716,0.4540725350379944,0.0005784332752227783,0.0205333661288023,0.02053368277847767,0.1032269150018692
syco_bullshit_v2_leg_pnf_01,False,24,1,0,True,True,projection_removal,1.0,0.4178084135055542,-0.0007289485074579716,0.4178084135055542,0.41907817125320435,0.0012697577476501465,0.02128099836409092,0.021293481811881065,0.10324393212795258
