scenario,condition,layer,changed_positions,positions,final_changed,final_patch_norm,patch_norm_mean,target_gap,final_coordinates_before,final_coordinates_after,final_gap_error,max_coordinate_sum_error
syco_bullshit_v2_sw_pnf_02,gap_plus,16,72,72,True,0.7547228932380676,1.6298964023590088,7.123698949813843,"[2.924248218536377, -2.9206228256225586]","[3.5640292167663574, -3.5595710277557373]",9.918212890625e-05,0.0057032108306884766
syco_bullshit_v2_sw_pnf_02,gap_plus,17,72,72,True,1.3697177171707153,1.9903825521469116,8.476953744888306,"[2.9092767238616943, -3.3201470375061035]","[4.034024715423584, -4.443739891052246]",0.0008106231689453125,0.006269931793212891
syco_bullshit_v2_sw_pnf_02,gap_plus,18,72,72,True,0.24778951704502106,0.7895042300224304,9.429186582565308,"[4.018717288970947, -5.020310401916504]","[4.2143120765686035, -5.2145538330078125]",0.00032138824462890625,0.004431009292602539
syco_bullshit_v2_sw_pnf_02,gap_plus,19,72,72,True,0.43993207812309265,1.6531941890716553,8.398379564285278,"[3.1719508171081543, -4.536790370941162]","[3.5185513496398926, -4.882253170013428]",0.0024251937866210938,0.005937337875366211
syco_bullshit_v2_sw_pnf_02,gap_plus,20,72,72,True,0.9902380108833313,2.165526866912842,10.019581198692322,"[3.7021541595458984, -4.79658842086792]","[4.462934494018555, -5.557731628417969]",0.0010852813720703125,0.004750251770019531
syco_bullshit_v2_sw_pnf_02,gap_plus,21,72,72,True,0.8841120600700378,2.043902635574341,11.533475756645203,"[4.8654913902282715, -5.314951419830322]","[5.540672302246094, -5.9912614822387695]",0.0015420913696289062,0.004614830017089844
syco_bullshit_v2_sw_pnf_02,gap_minus,13,72,72,True,1.4963370561599731,2.2762043476104736,-4.69693386554718,"[-0.6330046653747559, 1.043391466140747]","[-2.142263650894165, 2.5539238452911377]",0.0007462501525878906,0.0032504796981811523
syco_bullshit_v2_sw_pnf_02,gap_minus,14,72,72,True,0.10128247737884521,0.6031373739242554,-3.869912028312683,"[-1.7549424171447754, 1.9015902280807495]","[-1.8624041080474854, 2.007434606552124]",7.343292236328125e-05,0.002811908721923828
syco_bullshit_v2_sw_pnf_02,gap_minus,15,72,72,True,1.1095547676086426,1.5274121761322021,-6.436792850494385,"[-2.4048287868499756, 2.0075981616973877]","[-3.418060779571533, 3.0192995071411133]",0.0005674362182617188,0.0054852962493896484
syco_bullshit_v2_sw_pnf_02,gap_minus,16,72,72,True,0.859140157699585,1.1544647216796875,-7.42580771446228,"[-3.112999439239502, 2.8579702377319336]","[-3.841358184814453, 3.5852415561676025]",0.0007915496826171875,0.005669593811035156
syco_bullshit_v2_sw_pnf_02,gap_minus,17,72,72,True,0.33369114995002747,1.0413106679916382,-7.5542134046554565,"[-3.6186490058898926, 3.3871419429779053]","[-3.891291379928589, 3.6613528728485107]",0.0015692710876464844,0.006318092346191406
syco_bullshit_v2_sw_pnf_02,gap_minus,18,72,72,True,0.06155018135905266,1.8801625967025757,-8.385780811309814,"[-4.355820655822754, 4.122366905212402]","[-4.310581207275391, 4.076585292816162]",0.0013866424560546875,0.0062361955642700195
syco_bullshit_v2_sw_pnf_02,gap_minus,19,72,72,True,0.6174404621124268,1.8475395441055298,-12.443769216537476,"[-6.302986145019531, 5.165095329284668]","[-6.787201881408691, 5.6525702476501465]",0.003997802734375,0.008660316467285156
syco_bullshit_v2_sw_pnf_02,gap_minus,20,72,72,True,0.5987074375152588,1.5266821384429932,-12.97796106338501,"[-6.353093147277832, 5.709041595458984]","[-6.813710689544678, 6.167557716369629]",0.003307342529296875,0.00720977783203125
syco_bullshit_v2_sw_pnf_02,gap_minus,21,72,72,True,1.7198238372802734,1.9882935285568237,-14.799622058868408,"[-5.608000755310059, 6.560302257537842]","[-6.9234089851379395, 7.874842166900635]",0.0013704299926757812,0.005648612976074219
