scenario,condition,layer,distance_to_bare,distance_to_donor,donor_bare_distance,donor_delta_coefficient,coordinates
syco_bullshit_v2_sw_pnf_02,bare,20,0.0,11.355384826660156,11.355384826660156,0.0,"[-4.257549285888672, 2.0531513690948486]"
syco_bullshit_v2_sw_pnf_02,bare,21,0.0,13.18461799621582,13.18461799621582,0.0,"[-3.3570191860198975, 2.5960705280303955]"
syco_bullshit_v2_sw_pnf_02,bare,22,0.0,14.862032890319824,14.862032890319824,0.0,
syco_bullshit_v2_sw_pnf_02,bare,23,0.0,16.521764755249023,16.521764755249023,0.0,
syco_bullshit_v2_sw_pnf_02,bare,24,0.0,17.959941864013672,17.959941864013672,0.0,
syco_bullshit_v2_sw_pnf_02,bare,25,0.0,18.531803131103516,18.531803131103516,0.0,
syco_bullshit_v2_sw_pnf_02,bare,26,0.0,18.97313117980957,18.97313117980957,0.0,
syco_bullshit_v2_sw_pnf_02,bare,27,0.0,20.8232421875,20.8232421875,0.0,
syco_bullshit_v2_sw_pnf_02,bare,28,0.0,23.853796005249023,23.853796005249023,0.0,
syco_bullshit_v2_sw_pnf_02,bare,29,0.0,26.148447036743164,26.148447036743164,0.0,
syco_bullshit_v2_sw_pnf_02,bare,30,0.0,29.863937377929688,29.863937377929688,0.0,
syco_bullshit_v2_sw_pnf_02,bare,31,0.0,38.13393783569336,38.13393783569336,0.0,
syco_bullshit_v2_sw_pnf_02,direct_minus,17,5.5855255126953125,0.0,5.5855255126953125,1.0,"[-1.5886847972869873, 2.35009503364563]"
syco_bullshit_v2_sw_pnf_02,direct_minus,18,6.872130870819092,0.0,6.872130870819092,1.0,"[-2.278944969177246, 3.0456790924072266]"
syco_bullshit_v2_sw_pnf_02,direct_minus,19,9.98208236694336,0.0,9.98208236694336,1.0,"[-3.8803420066833496, 5.973369598388672]"
syco_bullshit_v2_sw_pnf_02,direct_minus,20,11.355384826660156,0.0,11.355384826660156,1.0,"[-3.8735785484313965, 6.332516670227051]"
syco_bullshit_v2_sw_pnf_02,direct_minus,21,13.18461799621582,0.0,13.18461799621582,1.0000001192092896,"[-3.3873956203460693, 7.578982353210449]"
syco_bullshit_v2_sw_pnf_02,direct_minus,22,14.862032890319824,0.0,14.862032890319824,1.0000001192092896,
syco_bullshit_v2_sw_pnf_02,direct_minus,23,16.521764755249023,0.0,16.521764755249023,1.0,
syco_bullshit_v2_sw_pnf_02,direct_minus,24,17.959941864013672,0.0,17.959941864013672,0.9999998807907104,
syco_bullshit_v2_sw_pnf_02,direct_minus,25,18.531803131103516,0.0,18.531803131103516,1.0,
syco_bullshit_v2_sw_pnf_02,direct_minus,26,18.97313117980957,0.0,18.97313117980957,0.9999999403953552,
syco_bullshit_v2_sw_pnf_02,direct_minus,27,20.8232421875,0.0,20.8232421875,1.0,
syco_bullshit_v2_sw_pnf_02,direct_minus,28,23.853796005249023,0.0,23.853796005249023,1.0000001192092896,
syco_bullshit_v2_sw_pnf_02,direct_minus,29,26.148447036743164,0.0,26.148447036743164,1.0,
syco_bullshit_v2_sw_pnf_02,direct_minus,30,29.863937377929688,0.0,29.863937377929688,0.9999999403953552,
syco_bullshit_v2_sw_pnf_02,direct_minus,31,38.13393783569336,0.0,38.13393783569336,1.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,17,0.0,5.5855255126953125,5.5855255126953125,0.0,"[-1.484957218170166, 0.5203645825386047]"
syco_bullshit_v2_sw_pnf_02,identity_minus,18,0.0,6.872130870819092,6.872130870819092,0.0,"[-2.2199957370758057, 0.5467122793197632]"
syco_bullshit_v2_sw_pnf_02,identity_minus,19,0.0,9.98208236694336,9.98208236694336,0.0,"[-4.012273788452148, 1.6765388250350952]"
syco_bullshit_v2_sw_pnf_02,identity_minus,20,0.0,11.355384826660156,11.355384826660156,0.0,"[-4.257549285888672, 2.0531513690948486]"
syco_bullshit_v2_sw_pnf_02,identity_minus,21,0.0,13.18461799621582,13.18461799621582,0.0,"[-3.3570191860198975, 2.5960705280303955]"
syco_bullshit_v2_sw_pnf_02,identity_minus,22,0.0,14.862032890319824,14.862032890319824,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,23,0.0,16.521764755249023,16.521764755249023,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,24,0.0,17.959941864013672,17.959941864013672,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,25,0.0,18.531803131103516,18.531803131103516,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,26,0.0,18.97313117980957,18.97313117980957,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,27,0.0,20.8232421875,20.8232421875,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,28,0.0,23.853796005249023,23.853796005249023,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,29,0.0,26.148447036743164,26.148447036743164,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,30,0.0,29.863937377929688,29.863937377929688,0.0,
syco_bullshit_v2_sw_pnf_02,identity_minus,31,0.0,38.13393783569336,38.13393783569336,0.0,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,17,5.5855255126953125,0.0,5.5855255126953125,1.0,"[-1.5886847972869873, 2.35009503364563]"
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,18,6.872130870819092,0.0,6.872130870819092,1.0,"[-2.278944969177246, 3.0456790924072266]"
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,19,9.98208236694336,0.0,9.98208236694336,1.0,"[-3.8803420066833496, 5.973369598388672]"
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,20,11.355384826660156,0.0,11.355384826660156,1.0,"[-3.8735785484313965, 6.332516670227051]"
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,21,13.18461799621582,0.0,13.18461799621582,1.0000001192092896,"[-3.3873956203460693, 7.578982353210449]"
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,22,14.862032890319824,0.0,14.862032890319824,1.0000001192092896,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,23,16.521764755249023,0.0,16.521764755249023,1.0,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,24,17.959941864013672,0.0,17.959941864013672,0.9999998807907104,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,25,18.531803131103516,0.0,18.531803131103516,1.0,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,26,18.97313117980957,0.0,18.97313117980957,0.9999999403953552,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,27,20.8232421875,0.0,20.8232421875,1.0,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,28,23.853796005249023,0.0,23.853796005249023,1.0000001192092896,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,29,26.148447036743164,0.0,26.148447036743164,1.0,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,30,29.863937377929688,0.0,29.863937377929688,0.9999999403953552,
syco_bullshit_v2_sw_pnf_02,donor_identity_minus,31,38.13393783569336,0.0,38.13393783569336,1.0,
syco_bullshit_v2_sw_pnf_02,full_minus,17,5.5855255126953125,0.0,5.5855255126953125,1.0,"[-1.5886847972869873, 2.35009503364563]"
syco_bullshit_v2_sw_pnf_02,full_minus,18,5.7386064529418945,2.3424317836761475,6.872130870819092,0.790565550327301,"[-2.179704427719116, 2.185997486114502]"
syco_bullshit_v2_sw_pnf_02,full_minus,19,6.026827335357666,6.534330368041992,9.98208236694336,0.4680113196372986,"[-3.826103448867798, 3.336223840713501]"
syco_bullshit_v2_sw_pnf_02,full_minus,20,6.078220844268799,7.838980674743652,11.355384826660156,0.4049791991710663,"[-4.07545280456543, 3.663595199584961]"
syco_bullshit_v2_sw_pnf_02,full_minus,21,6.662511825561523,9.463519096374512,13.18461799621582,0.370079904794693,"[-3.435565710067749, 4.385708808898926]"
syco_bullshit_v2_sw_pnf_02,full_minus,22,7.243183135986328,11.078163146972656,14.862032890319824,0.34094998240470886,
syco_bullshit_v2_sw_pnf_02,full_minus,23,7.805356502532959,12.640265464782715,16.521764755249023,0.3189302384853363,
syco_bullshit_v2_sw_pnf_02,full_minus,24,8.307231903076172,13.746516227722168,17.959941864013672,0.31405502557754517,
syco_bullshit_v2_sw_pnf_02,full_minus,25,8.664749145507812,14.327245712280273,18.531803131103516,0.3104518949985504,
syco_bullshit_v2_sw_pnf_02,full_minus,26,8.970860481262207,14.793621063232422,18.97313117980957,0.307801753282547,
syco_bullshit_v2_sw_pnf_02,full_minus,27,9.893375396728516,16.471670150756836,20.8232421875,0.3000067472457886,
syco_bullshit_v2_sw_pnf_02,full_minus,28,9.941218376159668,19.495811462402344,23.853796005249023,0.25284966826438904,
syco_bullshit_v2_sw_pnf_02,full_minus,29,10.609283447265625,21.458606719970703,26.148447036743164,0.24558009207248688,
syco_bullshit_v2_sw_pnf_02,full_minus,30,11.177160263061523,24.7912540435791,29.863937377929688,0.22547242045402527,
syco_bullshit_v2_sw_pnf_02,full_minus,31,12.604455947875977,31.812753677368164,38.13393783569336,0.20664949715137482,
syco_bullshit_v2_sw_pnf_02,projected_minus,17,1.805327296257019,5.285524845123291,5.5855255126953125,0.10450201481580734,"[-1.5897666215896606, 2.3497602939605713]"
syco_bullshit_v2_sw_pnf_02,projected_minus,18,1.848088264465332,6.56221866607666,6.872130870819092,0.08024043589830399,"[-2.1962859630584717, 2.152268886566162]"
syco_bullshit_v2_sw_pnf_02,projected_minus,19,1.8558555841445923,9.627598762512207,9.98208236694336,0.052164360880851746,"[-3.8564207553863525, 2.988723039627075]"
syco_bullshit_v2_sw_pnf_02,projected_minus,20,1.8782809972763062,10.956690788269043,11.355384826660156,0.048174209892749786,"[-4.082209587097168, 3.1951379776000977]"
syco_bullshit_v2_sw_pnf_02,projected_minus,21,1.9548674821853638,12.777523040771484,13.18461799621582,0.04139158874750137,"[-3.1904571056365967, 3.6276464462280273]"
syco_bullshit_v2_sw_pnf_02,projected_minus,22,2.172576665878296,14.445687294006348,14.862032890319824,0.03830637410283089,
syco_bullshit_v2_sw_pnf_02,projected_minus,23,2.2942166328430176,16.071231842041016,16.521764755249023,0.0365382619202137,
syco_bullshit_v2_sw_pnf_02,projected_minus,24,2.550421953201294,17.526039123535156,17.959941864013672,0.03395053744316101,
syco_bullshit_v2_sw_pnf_02,projected_minus,25,2.611182928085327,18.148788452148438,18.531803131103516,0.030381202697753906,
syco_bullshit_v2_sw_pnf_02,projected_minus,26,2.7340962886810303,18.51023292541504,18.97313117980957,0.03448288142681122,
syco_bullshit_v2_sw_pnf_02,projected_minus,27,3.0613269805908203,20.285266876220703,20.8232421875,0.03630829229950905,
syco_bullshit_v2_sw_pnf_02,projected_minus,28,3.1927554607391357,23.39518928527832,23.853796005249023,0.027998441830277443,
syco_bullshit_v2_sw_pnf_02,projected_minus,29,3.4117250442504883,25.797712326049805,26.148447036743164,0.021835066378116608,
syco_bullshit_v2_sw_pnf_02,projected_minus,30,3.4806230068206787,29.55573081970215,29.863937377929688,0.017058933153748512,
syco_bullshit_v2_sw_pnf_02,projected_minus,31,3.908348798751831,37.82746124267578,38.13393783569336,0.013256654143333435,
syco_bullshit_v2_sw_pnf_02,gap_minus,17,3.3793985843658447,5.887118339538574,5.5855255126953125,0.12757593393325806,"[-4.257821083068848, 3.2950985431671143]"
syco_bullshit_v2_sw_pnf_02,gap_minus,18,3.310749053955078,6.867222309112549,6.872130870819092,0.11676252633333206,"[-4.143350124359131, 2.932943344116211]"
syco_bullshit_v2_sw_pnf_02,gap_minus,19,3.2696447372436523,9.939276695251465,9.98208236694336,0.057923924177885056,"[-5.435247421264648, 3.640733480453491]"
syco_bullshit_v2_sw_pnf_02,gap_minus,20,3.2986230850219727,11.040751457214355,11.355384826660156,0.069516122341156,"[-5.3709611892700195, 3.7458598613739014]"
syco_bullshit_v2_sw_pnf_02,gap_minus,21,3.5211617946624756,12.688421249389648,13.18461799621582,0.07258845865726471,"[-4.277681350708008, 4.1214752197265625]"
syco_bullshit_v2_sw_pnf_02,gap_minus,22,3.8997039794921875,14.188071250915527,14.862032890319824,0.07874494791030884,
syco_bullshit_v2_sw_pnf_02,gap_minus,23,4.095141410827637,15.616110801696777,16.521764755249023,0.08403146266937256,
syco_bullshit_v2_sw_pnf_02,gap_minus,24,4.541582107543945,17.034866333007812,17.959941864013672,0.08215342462062836,
syco_bullshit_v2_sw_pnf_02,gap_minus,25,4.748897075653076,17.658143997192383,18.531803131103516,0.078866146504879,
syco_bullshit_v2_sw_pnf_02,gap_minus,26,4.989507675170898,18.009105682373047,18.97313117980957,0.08409775048494339,
syco_bullshit_v2_sw_pnf_02,gap_minus,27,5.4750142097473145,19.73127555847168,20.8232421875,0.08563034981489182,
